Treatment;Data;geneid;DHDPS;Type Data
Mean_3dpi_shoot_R7A;0,78;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_AM_15dpi;0,82;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_AM_27dpi;0,80;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_AM_mock_15d;0,80;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Mature_flower;0,75;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Immature_flower;0,91;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Pod;0,50;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Seed;0,96;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root;0,78;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Leaf;0,82;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_AM_mock_27d_P;0,80;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_AM_mock_27d;0,80;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_hair_mock_rhizobia;0,42;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_hair_nodC_24hr;0,85;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_hair_R7A_24hr;0,45;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_hair_R7A_72hr;0,83;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_hair_mock_NF;0,84;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_hair_NF_24hr;0,84;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Nodule_primordia_7dpi;0,46;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Nodules_21dpi;0,24;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Root_mock_microbialspectrum;0,73;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_M_loti_R7A_3dpi;0,73;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;0,73;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Sinorhizobium_fredii_HH103_3dpi;0,73;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;0,80;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_Ralstonia_solanacearum_JS763_3dpi;0,77;LotjaGi3g1v0431800;Lj.DHDPS-B3;Normalized
Mean_ZON_1hr_mock;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_ZON_1hr_BA;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_ZON_24hr_mock;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_ZON_24hr_BA;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_ZON_24hr_R7A;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_Nodules_10dpi;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_3dpi_root_mock;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_3dpi_root_R7A;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_3dpi_shoot_mock;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_3dpi_shoot_R7A;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_AM_15dpi;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_AM_27dpi;0,06;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_AM_mock_15d;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_Mature_flower;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_Immature_flower;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_Pod;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
Mean_Seed;0,00;LotjaGi4g1v0363100;Lj.DHDPS-B4;Normalized
