ID,Experiment,Gene_Model,Log2FoldChange,STRESS
25,7_SRP050050_Ethylene_24h_Wm82_Leaf_Abscicic_Zone,HK (Glyma.14G001000),-0.610169234,Abiotic
25,7_SRP050050_Ethylene_48h_Wm82_Leaf_Abscicic_Zone,HK (Glyma.14G001000),-2.755886877,Abiotic
25,7_SRP050050_Ethylene_72h_Wm82_Leaf_Abscicic_Zone,HK (Glyma.14G001000),-3.783091821,Abiotic
25,7_SRP050050_Ethylene_12h_Wm82_Leaf_Leaf_Petiole,HK (Glyma.14G001000),1.075698468,Abiotic
25,7_SRP050050_Ethylene_24h_Wm82_Leaf_Leaf_Petiole,HK (Glyma.14G001000),0.638478078,Abiotic
25,7_SRP050050_Ethylene_48h_Wm82_Leaf_Leaf_Petiole,HK (Glyma.14G001000),-0.96751075,Abiotic
25,7_SRP050050_Ethylene_72h_Wm82_Leaf_Leaf_Petiole,HK (Glyma.14G001000),-1.132896681,Abiotic
25,8_SRP076153_Drought_Wm82_Leaf,HK (Glyma.14G001000),0.462175653,Abiotic
25,8_SRP076153_Flooding_Wm82_Leaf,HK (Glyma.14G001000),-0.149431477,Abiotic
25,9_SRP058975_water_deficit_4h_BR16_Leaves,HK (Glyma.14G001000),-0.452501374,Abiotic
25,9_SRP058975_water_deficit_8h_BR16_Leaves,HK (Glyma.14G001000),-0.380391164,Abiotic
25,9_SRP058975_water_deficit_12h_BR16_Leaves,HK (Glyma.14G001000),-0.228382074,Abiotic
25,9_SRP058975_water_deficit_16h_BR16_Leaves,HK (Glyma.14G001000),0.173721627,Abiotic
25,9_SRP058975_water_deficit_20h_BR16_Leaves,HK (Glyma.14G001000),-0.080273628,Abiotic
25,10_SRP064384_Effect_CO2_No_Drought_Embrapa48_Root,HK (Glyma.14G001000),0.044216874,Abiotic
25,10_SRP064384_Effect_CO2_50min_Drought_Embrapa48_Root,HK (Glyma.14G001000),0.014635277,Abiotic
25,10_SRP064384_Effect_Drought_Ambient_CO2_Embrapa48_Root,HK (Glyma.14G001000),-0.306992557,Abiotic
25,10_SRP064384_Effect_Drought_Elevated_CO2_Embrapa48_Root,HK (Glyma.14G001000),-0.32370657,Abiotic
25,10_SRP064384_mixedEffect_SRP064384_A0_E50_Embrapa48_Root,HK (Glyma.14G001000),-0.274070739,Abiotic
