ID,Experiment,Gene_Model,Log2FoldChange,STRESS
106,"13_SRP108540_2,5Bic_effect_U06-105454_Root",LKR/SDH (Glyma.13G115500),0.148499569,Abiotic
106,13_SRP108540_5Bic_effect_U06-105454_Root,LKR/SDH (Glyma.13G115500),-0.296728624,Abiotic
106,13_SRP108540_LowFe_effect_U06-625083_Root,LKR/SDH (Glyma.13G115500),-0.270640972,Abiotic
106,13_SRP108540_LowFe_effect_U06-105454_Root,LKR/SDH (Glyma.13G115500),-0.559774787,Abiotic
105,14_SRP155375_Si-_P.soja_Infection_4dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),3.36884243,Biotic
105,14_SRP155375_Si-_P.soja_Infection_7dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),3.255349524,Biotic
105,14_SRP155375_Si-_P.soja_infection_14dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),1.331343723,Biotic
105,14_SRP155375_Si+_P.soja_infection_4dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),1.690738269,Biotic
105,14_SRP155375_Si+_P.soja_infection_7dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),3.765645115,Biotic
105,14_SRP155375_Si+_P.soja_infection_14dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),3.50839366,Biotic
105,14_SRP155375_SI-_S+_0dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),-0.898743064,Biotic
105,14_SRP155375_SI-_S+_4dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),-2.640157057,Biotic
105,14_SRP155375_SI-_S+_7dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),-0.445980752,Biotic
105,14_SRP155375_SI-_S+_14dpi_Hikmok_Root,LKR/SDH (Glyma.17G044300),1.303935185,Biotic
105,15_SRP056137_non_path_72hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.17G044300),0.022802156,Biotic
105,15_SRP056137_non_path_96hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.17G044300),-0.373710574,Biotic
105,15_SRP056137_path_72hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.17G044300),-0.094098664,Biotic
105,15_SRP056137_path_96hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.17G044300),0.031365088,Biotic
105,16_SRP091708_Nematode_R.reniformis_3DAI_Hutcheson_Root,LKR/SDH (Glyma.17G044300),-0.188746025,Biotic
105,16_SRP091708_Nematode_R.reniformis_6DAI_Hutcheson_Root,LKR/SDH (Glyma.17G044300),-0.394537078,Biotic
105,16_SRP091708_Nematode_R.reniformis_9DAI_Hutcheson_Root,LKR/SDH (Glyma.17G044300),0.497856022,Biotic
105,16_SRP091708_Nematode_R.reniformis_12DAI_Hutcheson_Root,LKR/SDH (Glyma.17G044300),-0.330998695,Biotic
105,17_SRP126743_SMV_12h_Jack_Leaf,LKR/SDH (Glyma.17G044300),5.492433911,Biotic
105,17_SRP126743_SMV_24h_Jack_Leaf,LKR/SDH (Glyma.17G044300),7.235064665,Biotic
105,18_SRP135932_H.glycine_5DAI_Heidou_Root,LKR/SDH (Glyma.17G044300),-1.357045812,Biotic
105,18_SRP135932_H.glycine_10DAI_Heidou_Root,LKR/SDH (Glyma.17G044300),-0.509876288,Biotic
105,18_SRP135932_H.glycine_15DAI_Heidou_Root,LKR/SDH (Glyma.17G044300),0.51983892,Biotic
106,14_SRP155375_Si-_P.soja_Infection_4dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),2.04671211,Biotic
106,14_SRP155375_Si-_P.soja_Infection_7dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),1.252118117,Biotic
106,14_SRP155375_Si-_P.soja_infection_14dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),0.768584475,Biotic
106,14_SRP155375_Si+_P.soja_infection_4dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),1.115394974,Biotic
106,14_SRP155375_Si+_P.soja_infection_7dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),2.030024987,Biotic
106,14_SRP155375_Si+_P.soja_infection_14dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),1.892917659,Biotic
106,14_SRP155375_SI-_S+_0dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),-0.506842294,Biotic
106,14_SRP155375_SI-_S+_4dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),-1.500243299,Biotic
106,14_SRP155375_SI-_S+_7dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),0.237099374,Biotic
106,14_SRP155375_SI-_S+_14dpi_Hikmok_Root,LKR/SDH (Glyma.13G115500),0.633570429,Biotic
106,15_SRP056137_non_path_72hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.13G115500),-0.039497127,Biotic
106,15_SRP056137_non_path_96hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.13G115500),-0.23143164,Biotic
106,15_SRP056137_path_72hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.13G115500),-0.314939188,Biotic
106,15_SRP056137_path_96hpi_F.oxysporum_Forrest_Root,LKR/SDH (Glyma.13G115500),-0.101640524,Biotic
106,16_SRP091708_Nematode_R.reniformis_3DAI_Hutcheson_Root,LKR/SDH (Glyma.13G115500),0.453347297,Biotic
106,16_SRP091708_Nematode_R.reniformis_6DAI_Hutcheson_Root,LKR/SDH (Glyma.13G115500),0.63052303,Biotic
106,16_SRP091708_Nematode_R.reniformis_9DAI_Hutcheson_Root,LKR/SDH (Glyma.13G115500),0.188913891,Biotic
106,16_SRP091708_Nematode_R.reniformis_12DAI_Hutcheson_Root,LKR/SDH (Glyma.13G115500),0.75174298,Biotic
106,17_SRP126743_SMV_12h_Jack_Leaf,LKR/SDH (Glyma.13G115500),5.98211103,Biotic
106,17_SRP126743_SMV_24h_Jack_Leaf,LKR/SDH (Glyma.13G115500),7.777163037,Biotic
106,18_SRP135932_H.glycine_5DAI_Heidou_Root,LKR/SDH (Glyma.13G115500),-2.413248955,Biotic
106,18_SRP135932_H.glycine_10DAI_Heidou_Root,LKR/SDH (Glyma.13G115500),-1.816849384,Biotic
106,18_SRP135932_H.glycine_15DAI_Heidou_Root,LKR/SDH (Glyma.13G115500),-1.74559384,Biotic
